id,code,name
en16931_uom_D87,D87,millimole per kilogram
en16931_uom_D88,D88,millicoulomb per cubic metre
en16931_uom_D89,D89,millicoulomb per square metre
en16931_uom_D91,D91,rem
en16931_uom_D93,D93,second per cubic metre
en16931_uom_D94,D94,second per cubic metre radian
en16931_uom_D95,D95,joule per gram
en16931_uom_DAA,DAA,decare
en16931_uom_DAD,DAD,ten day
en16931_uom_DAY,DAY,day
en16931_uom_DB,DB,dry pound
en16931_uom_DBM,DBM,Decibel-milliwatts
en16931_uom_DBW,DBW,Decibel watt
en16931_uom_DD,DD,degree [unit of angle]
en16931_uom_DEC,DEC,decade
en16931_uom_DG,DG,decigram
en16931_uom_DJ,DJ,decagram
en16931_uom_DLT,DLT,decilitre
en16931_uom_DMA,DMA,cubic decametre
en16931_uom_DMK,DMK,square decimetre
en16931_uom_DMO,DMO,standard kilolitre
en16931_uom_DMQ,DMQ,cubic decimetre
en16931_uom_DMT,DMT,decimetre
en16931_uom_DN,DN,decinewton metre
en16931_uom_DPC,DPC,dozen piece
en16931_uom_DPR,DPR,dozen pair
en16931_uom_DPT,DPT,displacement tonnage
en16931_uom_DRA,DRA,dram (US)
en16931_uom_DRI,DRI,dram (UK)
en16931_uom_DRL,DRL,dozen roll
en16931_uom_DT,DT,dry ton
en16931_uom_DTN,DTN,decitonne
en16931_uom_DWT,DWT,pennyweight
en16931_uom_DZN,DZN,dozen
en16931_uom_DZP,DZP,dozen pack
en16931_uom_E01,E01,newton per square centimetre
en16931_uom_E07,E07,megawatt hour per hour
en16931_uom_E08,E08,megawatt per hertz
en16931_uom_E09,E09,milliampere hour
en16931_uom_E10,E10,degree day
en16931_uom_E12,E12,mille
en16931_uom_E14,E14,kilocalorie (international table)
en16931_uom_E15,E15,kilocalorie (thermochemical) per hour
en16931_uom_E16,E16,million Btu(IT) per hour
en16931_uom_E17,E17,cubic foot per second
en16931_uom_E18,E18,tonne per hour
en16931_uom_E19,E19,ping
en16931_uom_E20,E20,megabit per second
en16931_uom_E21,E21,shares
en16931_uom_E22,E22,TEU
en16931_uom_E23,E23,tyre
en16931_uom_E25,E25,active unit
